1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
23310,35.11773,2482.069693,3.512964134,3.819578673,5.428335278,2524.083007,0.989663593,1.951546509,5.647109144,2542.018135,143.5848115,1.544799781,9.089431685,1.420212567,5.006515141,2524.11943,143.2646749,2.144451952,5.137012877,1.144526984,4.387546653,2501.144743,142.6792745,2.004841737,2.157934276,0.948531735,3.899671981,48.90203988,2.866366012,2.564984181,13.45864792
23158,37.86587,2450.676967,3.430555254,4.109757349,5.444028347,2494.970816,1.006168325,1.999357663,5.653078518,2532.544167,142.9884355,1.542205379,9.27408119,1.432317747,5.021695842,2531.470559,143.6374133,2.130011861,5.13067273,1.148125055,4.400420407,2512.787169,143.2821747,2.000440315,2.093991745,0.949066351,3.91105862,49.36843813,2.935445331,2.652215095,13.80528889
15122,37.86587,2453.471865,3.37201497,3.962077481,5.444637822,2472.498658,0.960424307,2.030644099,5.664678365,2516.586041,142.0052656,1.547592196,9.594281427,1.44575253,5.035616696,2530.678533,143.5376849,2.119648066,5.222487177,1.153632107,4.413073088,2520.934663,143.6886673,1.995503318,2.075277843,0.950677476,3.923190819,49.5698895,2.965613673,2.710442191,13.95411744
15319,36.8501,2601.430075,4.06538284,3.0334372,5.305383415,2506.327198,1.07089869,1.874307186,5.634657623,2509.606046,141.554652,1.577401115,9.770261067,1.431889743,5.021112435,2525.808351,143.2264084,2.136178311,5.233093263,1.147690913,4.399912302,2524.327612,143.8517308,2.008849232,1.987492744,0.94466225,3.915196742,48.62017678,2.826793373,2.73359649,13.24080377
15342,36.47441,2683.356224,3.93412025,2.889093909,5.306718143,2566.172743,1.081367554,1.764289885,5.604764145,2523.110487,142.3229956,1.620268262,9.59339405,1.386105621,4.968175636,2524.675852,143.1689637,2.181751885,5.041110931,1.123379474,4.352035201,2525.223587,143.9064256,2.028481809,1.789741892,0.927974136,3.882443119,47.9093145,2.722605376,2.744718423,12.7069769
14751,34.38721,2729.09875,3.671404589,2.744237035,5.336855595,2623.106552,0.94604713,1.701525248,5.603201484,2549.926835,143.883542,1.636533026,9.318311624,1.333745005,4.912480331,2530.519719,143.5396324,2.239314465,4.737431015,1.089218879,4.288405869,2526.506158,143.9989895,2.028732007,1.561945188,0.905520481,3.839898174,47.30053856,2.633179192,2.743648166,12.25008838
14287,34.67942,2755.549553,4.010345198,2.539188603,5.285563536,2673.376398,1.009636488,1.635934155,5.583838693,2586.523424,146.0107661,1.619880711,9.175797322,1.293085543,4.882039391,2545.101481,144.4032349,2.265427036,4.564991006,1.061631271,4.245067962,2530.714416,144.2442497,2.011913978,1.452743605,0.887752115,3.81108064,46.79728029,2.559301107,2.732479822,11.87265061
12478,32.06695,2781.077265,4.08668318,2.343351445,5.270672058,2710.713983,1.059250401,1.56183629,5.563881308,2623.172034,148.1764801,1.627308704,8.863163853,1.245790075,4.83616193,2565.830243,145.6515189,2.298533968,4.283426739,1.029179008,4.190753485,2538.941648,144.7427281,2.029653121,1.291034823,0.866194737,3.773943612,46.41153548,2.502489581,2.712422533,11.58363137
12477,29.89975,2832.731185,4.116160913,2.129351935,5.261724823,2746.908481,1.007013884,1.491139552,5.557864217,2656.110116,150.1674472,1.649494093,8.381678068,1.192988984,4.773375613,2588.393371,147.0501801,2.36689344,3.818186394,0.989429161,4.115133585,2550.093983,145.4372239,2.047221386,1.047836629,0.838777952,3.726090896,45.95119735,2.434562325,2.688257505,11.23886743
11347,27.06813,2836.83457,4.170291772,2.02117459,5.250025611,2778.320636,1.005861211,1.439008806,5.548145026,2689.060011,152.1752918,1.661939235,7.915261039,1.146727488,4.720553061,2613.411831,148.6038971,2.443496529,3.358328842,0.952548069,4.045313544,2564.505951,146.3208751,2.042449065,0.848338102,0.812623507,3.686146687,45.59293374,2.381546876,2.658309391,10.97089938
11037,24.70265,2837.049375,4.332898442,1.864508117,5.22262447,2798.173655,1.025449345,1.381415182,5.535983375,2718.385424,153.9970166,1.684700151,7.388302434,1.10234265,4.666791364,2638.933581,150.2054199,2.544709766,2.866179522,0.91687921,3.976263736,2581.128968,147.3392276,2.050801957,0.66560047,0.786721776,3.651175459,45.23648632,2.328735608,2.62582444,10.70447608
10473,23.38772,2824.600759,4.356403252,1.764876877,5.218627974,2807.763668,1.0243835,1.329454987,5.526752318,2742.137558,155.5228096,1.723475099,6.775071713,1.05843509,4.607755104,2663.079159,151.7460491,2.693370998,2.333634439,0.881605055,3.90649775,2598.725257,148.4202732,2.057267063,0.500766034,0.760860333,3.621693223,44.94394336,2.285187134,2.589506545,10.48622072
10000,22.19802,2812.559571,4.36104047,1.674891333,5.21707915,2809.900662,1.004238885,1.28435709,5.522253606,2760.091901,156.7338424,1.773591337,6.122687237,1.017134696,4.549249932,2685.01131,153.1670774,2.907676703,1.809049304,0.847806324,3.842725109,2616.585276,149.5189288,2.051786541,0.371309861,0.735935998,3.600385195,44.67404317,2.244888185,2.551120429,10.28515442
11258,20.31607,2797.196408,4.43444981,1.618805521,5.207184494,2807.200514,1.016081302,1.24273307,5.515866656,2773.030755,157.6657842,1.831751913,5.490631914,0.980338846,4.49886559,2704.679331,154.4508595,3.182037848,1.364434289,0.8173131,3.795591155,2634.576794,150.6264182,2.044224344,0.282449985,0.713244497,3.588517986,44.44280633,2.210209316,2.510147034,10.11332874
10436,20.54218,2747.389742,4.292507593,1.61307633,5.240173264,2794.066559,1.017226721,1.209183967,5.515106552,2780.711391,158.3012164,1.902851077,4.886555553,0.947427982,4.456103736,2721.601728,155.564407,3.498848828,1.019998717,0.790072683,3.767656509,2652.150994,151.7134198,2.033343009,0.22209621,0.692861893,3.584660917,44.35551034,2.196482018,2.45919379,10.05005421
10976,20.71611,2722.297805,4.251871383,1.58605297,5.251602385,2774.673711,0.988466322,1.182762873,5.521992303,2782.229652,158.5868849,1.987680421,4.311045516,0.918179291,4.419010302,2734.899039,156.457504,3.852423362,0.766352162,0.76511757,3.756207626,2668.364718,152.7268441,2.027990984,0.181147917,0.674133775,3.587091561,44.24322898,2.17905071,2.407799614,9.968277602
11250,20.7509,2695.065349,4.25839066,1.586559958,5.260103405,2752.564379,1.015325356,1.160065132,5.5250959,2778.356397,158.5510373,2.072646445,3.854419053,0.895266912,4.401188618,2744.900286,157.1476839,4.127589376,0.623329444,0.744905279,3.765983651,2683.74867,153.6973675,2.01489139,0.159920273,0.65852329,3.597263107,44.20909151,2.172967679,2.348284158,9.945747907
11740,20.66393,2667.412294,4.151077617,1.597855097,5.286792497,2729.531599,1.009409008,1.140433597,5.533570261,2770.198461,158.2674549,2.174278987,3.43333783,0.874163384,4.385733964,2750.787454,157.6012419,4.379552014,0.513423413,0.726676728,3.782561254,2696.838897,154.5426788,2.013733094,0.143794407,0.644447965,3.611574214,44.21866662,2.173153235,2.281760047,9.956665393
11562,20.61175,2641.786808,4.031727869,1.607313193,5.31632554,2704.912137,0.992618181,1.127962262,5.546785007,2758.30309,157.7574671,2.272226456,3.110571615,0.85716611,4.381930002,2752.890783,157.8359977,4.578064785,0.446239789,0.711348371,3.807500918,2707.720499,155.2669634,2.009683035,0.134231829,0.632397528,3.630621586,44.27066806,2.179417492,2.207355814,10.00019458
12124,20.54218,2634.909849,4.05443723,1.598138525,5.322081325,2683.208821,1.000870897,1.116704359,5.55841085,2743.488743,157.0653807,2.357261563,2.89323634,0.844406261,4.390390426,2751.320592,157.861317,4.712731682,0.408041483,0.699145618,3.838469617,2716.186718,155.8583585,2.007188235,0.128825458,0.622436539,3.654115684,44.31799068,2.184916553,2.128706343,10.04084744
12578,20.43782,2621.647964,4.002935894,1.621525466,5.340649321,2664.720902,1.014028256,1.107450766,5.569051663,2727.457618,156.2944026,2.433866762,2.735240152,0.833919192,4.403240813,2746.453768,157.7010848,4.813846578,0.379732491,0.689177215,3.871040811,2721.862699,156.2950147,2.003254377,0.124807891,0.614100708,3.680673956,44.41155113,2.19700938,2.040562275,10.11723016
11399,20.40303,2609.030339,3.880055149,1.617994197,5.369416698,2647.68857,0.992895021,1.10229246,5.584555131,2711.187941,155.5043996,2.505330121,2.609840977,0.824928856,4.416283063,2738.996247,157.3946109,4.907831459,0.356683788,0.680524849,3.902847633,2724.659769,156.5708717,2.003769183,0.121278306,0.606865653,3.708775325,44.52268292,2.211514803,1.945521354,10.2077586
11448,20.15953,2633.38477,3.998130223,1.55823431,5.352679265,2638.226274,0.992200683,1.094557284,5.59576548,2695.479141,154.7390534,2.562585589,2.529549935,0.818128106,4.432107464,2729.548043,156.9748426,4.979924574,0.343670704,0.673437249,3.934507015,2724.814793,156.6986312,2.008736314,0.119053988,0.600769111,3.738193074,44.52552676,2.210241642,1.856602549,10.21704365
12090,20.02734,2651.8075,4.083714822,1.548219191,5.341540962,2638.020834,1.025564614,1.083287312,5.598425888,2682.384335,154.1199836,2.609981836,2.465087055,0.811956034,4.446638142,2718.944768,156.4906529,5.030509319,0.332091026,0.667698986,3.964492534,2722.600395,156.6933349,1.998925352,0.117358579,0.595724644,3.768285042,44.52903881,2.208967696,1.763685137,10.22758667
12429,19.99951,2647.120657,3.939391823,1.578262331,5.36894158,2639.083151,1.005094915,1.075634609,5.606129169,2672.778348,153.7069365,2.671030012,2.360020555,0.804193991,4.451546356,2708.502901,156.0167167,5.11182684,0.312130354,0.661569003,3.989474632,2718.530986,156.583387,2.003652408,0.114372143,0.590848682,3.796564184,44.56549792,2.212330445,1.664351906,10.26386954
11500,20.10039,2639.402746,3.857468476,1.578252121,5.38661935,2637.545312,0.978265379,1.074566101,5.61720838,2665.026666,153.3899321,2.704557876,2.320478929,0.799462226,4.464363042,2698.321908,155.5559352,5.154097451,0.308851542,0.657029205,4.015524144,2713.025362,156.3922717,2.00400513,0.113568965,0.587016989,3.825384767,44.60407772,2.215924843,1.56343897,10.3023947
11717,20.40303,2659.164089,4.024291657,1.53845833,5.359874435,2639.15011,1.001639101,1.069428684,5.620574322,2658.715896,153.1479853,2.713242295,2.326864468,0.797270501,4.482315151,2688.648309,155.1245967,5.15909415,0.312721407,0.654286981,4.041542867,2706.438571,156.1402362,2.003265336,0.113878714,0.584287888,3.854572812,44.56710615,2.208584188,1.47019432,10.28398819
11751,20.82047,2665.923055,4.055887048,1.539772839,5.355094561,2643.83573,1.02555287,1.061219748,5.619734772,2654.712873,153.0455831,2.736123777,2.285954622,0.793479141,4.490828898,2680.114645,154.7604634,5.185672917,0.303982329,0.651457812,4.062934755,2699.360465,155.8605723,1.997680036,0.112731202,0.581796539,3.881736737,44.54904671,2.203906854,1.375384705,10.28038258
11489,21.16834,2667.048519,3.960356,1.542916293,5.369491919,2647.759522,0.995740106,1.056024889,5.624461258,2652.591726,153.0597595,2.782059359,2.196429206,0.78776291,4.489666646,2673.017282,154.4781866,5.25344854,0.287704461,0.647536945,4.07970145,2692.306991,155.5820798,2.005553636,0.110335187,0.578987294,3.905805064,44.51863487,2.197391502,1.283380964,10.26767473
12859,21.6136,2671.280707,3.984175421,1.562757456,5.364672801,2651.779326,0.989841546,1.053943072,5.626994027,2651.684768,153.1344397,2.798950542,2.173554494,0.784637538,4.496482575,2667.0164,154.2568497,5.27970816,0.28690335,0.644874118,4.097499591,2685.27299,155.3044763,2.00607984,0.109997359,0.57690524,3.929554036,44.46681609,2.187796479,1.196069986,10.23882714
12350,22.1354,2641.51536,3.913226832,1.620687698,5.381354926,2650.176399,1.010020175,1.055248228,5.627827468,2651.352123,153.2327714,2.779544004,2.217387182,0.784298422,4.510926306,2662.074538,154.0969558,5.252489191,0.295843314,0.644195044,4.116062095,2678.411002,155.0369221,1.990348714,0.11116416,0.57593137,3.953566406,44.52281305,2.193719935,1.101702955,10.29214244
